Tag;Preis;ABS(LogRendite);ABS(Volumeaenderung);ABS(VolumeaenderungsProzent);
2;989.0;0,001;13867,00;0,6684;
3;979.0;0,0102;7203,00;0,2081;
4;988.0;0,0092;21988,00;0,8021;
5;1000.0;0,0121;4600,00;0,0931;
6;1007.0;0,007;20769,00;0,3846;
7;1013.0;0,0059;198,00;0,006;
8;1003.0;0,0099;21736,00;0,6502;
9;999.0;0,004;17203,00;0,3118;
10;988.0;0,0111;570,00;0,015;
11;983.0;0,0051;20838,00;0,5408;
12;998.0;0,0151;42186,00;2,3842;
13;994.0;0,004;15150,00;0,253;
14;997.0;0,003;11829,00;0,2645;
15;1000.0;0,003;5901,00;0,1794;
16;1004.0;0,004;13160,00;0,4874;
17;1014.0;0,0099;13796,00;0,3435;
18;1015.0;0,001;9161,00;0,3475;
19;1020.0;0,0049;175,00;0,0049;
20;1015.0;0,0049;1190,00;0,0333;
21;1025.0;0,0098;6490,00;0,1881;
22;1016.0;0,0088;4720,00;0,1151;
23;1015.0;0,001;2075,00;0,0454;
24;1007.0;0,0079;1670,00;0,0383;
25;996.0;0,011;4485,00;0,099;
26;1001.0;0,005;4755,00;0,0955;
27;994.0;0,007;14595,00;0,324;
28;1003.0;0,009;3549,00;0,0595;
29;1003.0;0,00;15045,00;0,2381;
30;997.0;0,006;8685,00;0,1804;
31;986.0;0,0111;29221,00;0,5142;
32;995.0;0,0091;252,00;0,0091;
33;992.0;0,003;16780,00;0,6023;
34;986.0;0,0061;8158,00;0,1828;
35;996.0;0,0101;5350,00;0,1466;
36;976.0;0,0203;17432,00;0,4167;
37;985.0;0,0092;23865,00;0,9781;
38;993.0;0,0081;7552,00;0,1565;
39;999.0;0,006;5748,00;0,1412;
40;988.0;0,0111;10265,00;0,2936;
41;993.0;0,005;5090,00;0,2061;
42;991.0;0,002;4895,00;0,1643;
43;992.0;0,001;13923,00;0,4014;
44;982.0;0,0101;7364,00;0,1515;
45;988.0;0,0061;5192,00;0,1259;
46;997.0;0,0091;19517,00;0,4203;
47;997.0;0,00;997,00;0,037;
48;998.0;0,001;22982,00;0,8233;
