


LogRenditen in 1 Tagen Abstand
Nummer;LogRenditen
1;0,001
2;-0,0102
3;0,0092
4;0,0121
5;0,007
6;0,0059
7;-0,0099
8;-0,004
9;-0,0111
10;-0,0051
11;0,0151
12;-0,004
13;0,003
14;0,003
15;0,004
16;0,0099
17;0,001
18;0,0049
19;-0,0049
20;0,0098
21;-0,0088
22;-0,001
23;-0,0079
24;-0,011
25;0,005
26;-0,007
27;0,009
28;0,00
29;-0,006
30;-0,0111
31;0,0091
32;-0,003
33;-0,0061
34;0,0101
35;-0,0203
36;0,0092
37;0,0081
38;0,006
39;-0,0111
40;0,005
41;-0,002
42;0,001
43;-0,0101
44;0,0061
45;0,0091
46;0,00
47;0,001
48;0,01
49;-0,006
50;0,00
51;-0,006
52;0,005
53;-0,01
54;-0,0061
55;0,0101
56;-0,0081
57;-0,003
58;0,0111
59;0,006
60;0,0109
61;-0,004
62;-0,001
63;-0,008
64;0,0149
65;-0,001
66;-0,0069
67;-0,011
68;0,009
69;-0,005
70;-0,006
71;0,002
72;-0,0101
73;-0,0031
74;-0,001
75;0,0091
76;-0,0102
77;-0,0237
78;0,0063
79;-0,0063
80;0,001
81;-0,0094
82;0,0021
83;0,0146
84;-0,0031
85;0,00
86;0,0031
87;-0,001
88;-0,0062
89;0,00
90;0,00
91;0,00
92;0,0207
93;-0,0062
94;-0,0083
95;0,0083
96;0,0021
97;-0,0062
98;-0,0041
99;0,0226
100;-0,0081
101;0,00
102;0,0031
103;-0,0113
104;0,00
105;-0,0062
106;0,0062
107;-0,0031
108;-0,0062
109;-0,0042
110;0,0114
111;-0,0104
112;-0,0021
113;0,0114
114;-0,0052
115;0,0103
116;-0,0083
117;0,0083
118;-0,0041
119;-0,0031
120;0,0062
121;0,0184
122;0,002
123;0,008
124;0,001
125;-0,004
126;-0,004
127;0,007
128;-0,008
129;-0,002
130;0,00
131;0,0071
132;0,007
133;-0,006
134;-0,004
135;0,009
136;0,0158
137;-0,0168
138;-0,001
139;-0,004
140;0,00
141;0,005
142;0,001
143;-0,002
144;0,00
145;0,002
146;-0,01
147;0,001
148;-0,0081
149;-0,0102
150;-0,001
151;-0,0093
152;0,0093
153;-0,0062
154;0,00
155;-0,001
156;0,0174
157;0,00
158;0,0101
159;0,008
160;-0,012
161;-0,0102
162;0,0132
163;0,004
164;-0,002
165;-0,0081
166;0,002
167;-0,002
168;0,00
169;0,0051
170;0,00
171;0,006
172;0,004
173;-0,004
174;-0,006
175;-0,003
176;0,004
177;0,009
178;0,005
179;0,002
180;-0,003
181;0,004
182;0,002
183;-0,0119
184;0,004
185;-0,01
186;-0,002
187;-0,0081
188;-0,0082
189;0,001
190;-0,0113
191;0,0093
192;-0,0021
193;0,0021
194;-0,0031
195;0,0082
196;0,0102
197;-0,0071
198;-0,001
199;0,0121
200;-0,0142
201;0,002
202;-0,0061
203;0,00
204;-0,0082
205;0,0021
206;0,0092
207;-0,0092
208;-0,0041
209;0,001
210;0,0062
211;0,0041
212;-0,0113
213;0,0093
214;-0,0072
215;0,0205
216;0,00
217;0,003
218;0,007
219;0,00
220;0,001
221;-0,009
222;0,00
223;0,001
224;-0,004
225;-0,0061
226;0,002
227;-0,002
228;0,0152
229;-0,005
230;0,013
231;-0,014
232;-0,0091
233;-0,001
234;-0,0061
235;0,0021
236;-0,0238
237;0,0177
238;0,0103
239;0,0031
240;0,0091
241;0,00
242;-0,001
243;-0,001
244;-0,0102
245;-0,0051
246;0,0031
247;-0,0175
248;0,0093
249;-0,0021
250;0,0031
251;0,0102
252;-0,001
253;-0,0051
254;-0,001
255;0,0092
256;0,00
257;0,0101
258;0,002
259;0,012
260;-0,006
261;-0,006
262;0,001
263;-0,0101
264;0,0091
265;0,001
266;-0,005
267;0,00
268;0,005
269;-0,002
270;-0,0101
271;-0,0041
272;-0,001
273;0,001
274;0,0061
275;0,0231
276;0,0069
277;-0,003
278;0,00
279;0,001
280;-0,0139
281;0,0109
282;0,0059
283;0,0039
284;-0,001
285;-0,0079
286;-0,0119
287;0,003
288;0,003
289;0,00
290;-0,001
291;0,002
292;-0,011
293;0,007
294;0,001
295;-0,009
296;-0,0081
