
Summary (result comparation of different networks)

Network;Run-No;Volatility;Distortion;1Day-Kurtosis;Skewness;Standard_Deviation;Hill_Estimator;Correlation1;Correlation2;TypeChangeIndicator;Menge_Sum;Volume_Sum;RunStart;RunEnd;Duration(ms);
sw50p0175.mat;RUN-01;52,6906;0,9586;-0,1522;0,1363;0,7267;14,9705;0,1380;0,1452;68,0000;17688,0000;17513139,0000;2024-01-07 19:13:39.311;2024-01-07 19:13:58.287;18976
;RUN-02;62,9878;0,8864;0,2164;0,0923;0,7944;10,1810;0,1389;0,1616;0,0000;15677,0000;15517362,0000;2024-01-07 19:14:07.693;2024-01-07 19:14:29.56;21867
;MIN;52,6906;0,8864;-0,1522;0,0923;0,7267;10,1810;0,1380;0,1452;0,0000;15677,0000;15517362,0000; -; -; -
;MAX;62,9878;0,9586;0,2164;0,1363;0,7944;14,9705;0,1389;0,1616;68,0000;17688,0000;17513139,0000; -; -; -
;AVERAGE;57,8392;0,9225;0,0321;0,1143;0,7605;12,5758;0,1385;0,1534;34,0000;16682,5000;16515250,5000; -; -; -
;VARIANCE;53,0159;0,0026;0,0680;0,0010;0,0000;11,4697;0,0000;0,0001;2312,0000;0,0000;0,0000; -; -; -
;Standard Deviation;7,2812;0,0510;0,2607;0,0312;0,0478;3,3867;0,0006;0,0116;48,0833;0,0000;0,0000; -; -; -



Comparation of networks


sw50p0175.mat;AVERAGE;57,8392;0,9225;0,0321;0,1143;0,7605;12,5758;0,1385;0,1534;34,0000;16682,5000;16515250,5000; -; -; -


 ;Inner Values;39,4844;0,0000;-0,9864;-0,0086;0,0063;32,8032;  ;  ;  ;
