Tao;Autokovarinz;Autokorrelation;
0;0,00;1,00;
1;0,00;0,046;
2;-0,00;-0,0203;
3;0,00;0,0501;
4;-0,00;-0,025;
5;-0,00;-0,0424;
6;0,00;0,0441;
7;0,00;0,0428;
8;-0,00;-0,0156;
9;-0,00;-0,0448;
10;0,00;0,0638;
11;0,00;0,0119;
12;-0,00;-0,0109;
13;-0,00;-0,0335;
14;-0,00;-0,0317;
15;-0,00;-0,0043;
16;-0,00;-0,0893;
17;0,00;0,0104;
18;-0,00;-0,00;
19;-0,00;-0,0227;
20;0,00;0,0333;
21;-0,00;-0,0039;
22;-0,00;-0,0349;
23;-0,00;-0,0039;
24;-0,00;-0,0391;
25;0,00;0,0135;
26;-0,00;-0,0437;
27;0,00;0,0169;
28;-0,00;-0,0129;
29;-0,00;-0,003;
30;0,00;0,0094;
31;-0,00;-0,0479;
32;0,00;0,0124;
33;-0,00;-0,0459;
34;0,00;0,0674;
35;0,00;0,1398;
36;-0,00;-0,0142;
37;-0,00;-0,0226;
38;0,00;0,0139;
39;-0,00;-0,0637;
