Tag;Preis;ABS(LogRendite);ABS(Volumeaenderung);ABS(VolumeaenderungsProzent);
147;980.0;0,0112;8446,00;0,2507;
148;977.0;0,0031;9899,00;0,2349;
149;976.0;0,001;1919,00;0,0595;
150;969.0;0,0072;2183,00;0,0639;
151;970.0;0,001;12577,00;0,3933;
152;974.0;0,0041;10794,00;0,5564;
153;967.0;0,0072;1184,00;0,0392;
154;959.0;0,0083;240,00;0,0083;
155;963.0;0,0042;9750,00;0,3389;
156;968.0;0,0052;2704,00;0,0702;
157;970.0;0,0021;6716,00;0,1875;
158;980.0;0,0103;23820,00;0,8186;
159;977.0;0,0031;20679,00;0,3908;
160;986.0;0,0092;1675,00;0,052;
161;979.0;0,0071;5657,00;0,1851;
162;988.0;0,0092;4607,00;0,1272;
163;985.0;0,003;2066,00;0,0653;
164;990.0;0,0051;5100,00;0,1726;
165;985.0;0,0051;5735,00;0,1655;
166;985.0;0,00;8865,00;0,2195;
167;976.0;0,0092;5330,00;0,1082;
168;975.0;0,001;9795,00;0,223;
169;972.0;0,0031;9615,00;0,2818;
170;981.0;0,0092;9405,00;0,215;
171;974.0;0,0072;6089,00;0,1773;
172;978.0;0,0041;18698,00;0,662;
173;987.0;0,0092;26217,00;0,5585;
174;995.0;0,0081;13103,00;0,6322;
175;997.0;0,002;5914,00;0,1748;
176;997.0;0,00;22931,00;0,8214;
177;1003.0;0,006;7718,00;0,1518;
178;1006.0;0,003;7171,00;0,1663;
179;1007.0;0,001;28146,00;0,5596;
180;1006.0;0,001;5008,00;0,2261;
181;1027.0;0,0207;9703,00;0,3572;
182;1016.0;0,0108;56709,00;3,2481;
183;1020.0;0,0039;55808,00;0,7525;
184;1012.0;0,0079;34264,00;1,8662;
185;1016.0;0,0039;27224,00;0,5173;
186;1009.0;0,0069;20005,00;0,7876;
187;997.0;0,012;7436,00;0,1638;
188;989.0;0,0081;10314,00;0,1952;
189;989.0;0,00;8901,00;0,2093;
190;985.0;0,0041;849,00;0,0252;
191;979.0;0,0061;8042,00;0,2333;
192;978.0;0,001;10731,00;0,406;
193;981.0;0,0031;2076,00;0,0559;
194;978.0;0,0031;5010,00;0,1277;
195;977.0;0,001;13643,00;0,3986;
196;970.0;0,0072;26533,00;0,5542;
197;978.0;0,0082;27560,00;1,2915;
198;980.0;0,002;5000,00;0,1022;
199;969.0;0,0113;34520,00;0,6404;
200;973.0;0,0041;37054,00;1,912;
201;975.0;0,0021;24259,00;0,4299;
202;976.0;0,001;16559,00;0,5147;
203;973.0;0,0031;26223,00;1,6792;
204;982.0;0,0092;595,00;0,0142;
205;972.0;0,0102;2496,00;0,0605;
206;972.0;0,00;5832,00;0,1333;
207;970.0;0,0021;13658,00;0,3603;
208;979.0;0,0092;11523,00;0,4752;
209;969.0;0,0103;23126,00;1,8171;
210;968.0;0,001;1005,00;0,028;
211;972.0;0,0041;828,00;0,0238;
212;975.0;0,0031;4980,00;0,1464;
213;982.0;0,0072;8558,00;0,2194;
214;989.0;0,0071;9118,00;0,2995;
215;984.0;0,0051;19480,00;0,4924;
216;1001.0;0,0171;22003,00;0,3727;
217;990.0;0,011;22363,00;0,6038;
218;998.0;0,008;34450,00;0,58;
219;996.0;0,002;7918,00;0,3174;
220;1002.0;0,006;12222,00;0,3719;
221;1008.0;0,006;6786,00;0,1505;
222;1000.0;0,008;2696,00;0,0704;
223;1009.0;0,009;22838,00;0,557;
224;1003.0;0,006;19952,00;1,0986;
225;996.0;0,007;13678,00;0,3589;
226;993.0;0,003;1830,00;0,0353;
227;990.0;0,003;28872,00;0,5384;
228;991.0;0,001;9935,00;0,4014;
229;1000.0;0,009;5315,00;0,1532;
230;996.0;0,004;17768,00;0,4442;
231;999.0;0,003;22803,00;0,3947;
232;998.0;0,001;16931,00;0,4842;
233;997.0;0,001;12016,00;0,2315;
234;990.0;0,007;10610,00;0,266;
235;984.0;0,0061;1290,00;0,0255;
236;990.0;0,0061;22470,00;0,4567;
237;983.0;0,0071;4726,00;0,1768;
238;983.0;0,00;983,00;0,0312;
239;978.0;0,0051;6681,00;0,206;
240;981.0;0,0031;16797,00;0,4294;
241;979.0;0,002;9676,00;0,173;
242;975.0;0,0041;14893,00;0,2271;
243;979.0;0,0041;208,00;0,0041;
244;973.0;0,0061;25610,00;0,5031;
245;966.0;0,0072;18172,00;0,7183;
246;956.0;0,0104;17658,00;0,4062;
247;963.0;0,0073;12708,00;0,4923;
248;957.0;0,0063;240,00;0,0062;
249;958.0;0,001;15368,00;0,4015;
250;966.0;0,0083;4312,00;0,0804;
251;962.0;0,0041;14670,00;0,2531;
252;962.0;0,00;0,00;0,00;
253;960.0;0,0021;8550,00;0,1975;
254;971.0;0,0114;3290,00;0,0635;
255;972.0;0,001;4910,00;0,1011;
256;973.0;0,001;2001,00;0,0374;
257;981.0;0,0082;18183,00;0,3279;
258;980.0;0,001;4862,00;0,1304;
259;984.0;0,0041;6716,00;0,1594;
260;989.0;0,0051;16004,00;0,4518;
261;996.0;0,0071;23540,00;0,4577;
262;1002.0;0,006;7182,00;0,2575;
263;996.0;0,006;19710,00;0,562;
264;995.0;0,001;3925,00;0,0717;
265;995.0;0,00;28855,00;0,4915;
266;1004.0;0,009;10310,00;0,3454;
267;997.0;0,007;12681,00;0,3158;
268;996.0;0,001;3041,00;0,0576;
269;1001.0;0,005;11762,00;0,2362;
270;993.0;0,008;23528,00;0,6185;
271;984.0;0,0091;12366,00;0,2009;
272;991.0;0,0071;4314,00;0,0877;
273;993.0;0,002;26703,00;0,499;
274;1004.0;0,011;6731,00;0,2511;
275;1005.0;0,001;22130,00;1,1021;
276;997.0;0,008;1658,00;0,0393;
277;999.0;0,002;23065,00;0,5258;
278;1001.0;0,002;26893,00;0,4018;
279;1002.0;0,001;9980,00;0,2493;
280;1018.0;0,0158;4610,00;0,1534;
281;1008.0;0,0099;32006,00;1,2576;
282;1018.0;0,0099;42186,00;0,7342;
283;1018.0;0,00;7126,00;0,4667;
284;1021.0;0,0029;25591,00;1,1427;
285;1020.0;0,001;8113,00;0,1691;
286;1023.0;0,0029;4950,00;0,0882;
287;1015.0;0,0079;400,00;0,0078;
288;1009.0;0,0059;12817,00;0,2526;
289;1003.0;0,006;24450,00;0,3846;
290;1005.0;0,002;8967,00;0,2292;
