
test result for SPSS tool

Volatility

Runs;sw50p0175.mat;
RUN-1;50,1844;
RUN-2;60,3304;


Distortion

Runs;sw50p0175.mat;
RUN-1;0,8893;
RUN-2;0,8919;


Kurtosis

Runs;sw50p0175.mat;
RUN-1;0,8056;
RUN-2;0,9834;


Skewness

Runs;sw50p0175.mat;
RUN-1;0,4282;
RUN-2;0,4632;


Standard_Deviation

Runs;sw50p0175.mat;
RUN-1;0,0071;
RUN-2;0,0078;


Hill_Estimator

Runs;sw50p0175.mat;
RUN-1;7,5134;
RUN-2;8,3614;


Correlation1

Runs;sw50p0175.mat;
RUN-1;0,1377;
RUN-2;0,0324;


Correlation2

Runs;sw50p0175.mat;
RUN-1;0,1403;
RUN-2;0,0189;


TypeChangeIndicator

Runs;sw50p0175.mat;
RUN-1;48,0000;
RUN-2;15,0000;


