Tao;Autokovarinz;Autokorrelation;
0;0,00;1,00;
1;-0,00;-0,0254;
2;0,00;0,0487;
3;0,00;0,0113;
4;0,00;0,0216;
5;0,00;0,0409;
6;0,00;0,029;
7;0,00;0,0423;
8;0,00;0,0535;
9;-0,00;-0,0311;
10;0,00;0,0188;
11;0,00;0,083;
12;0,00;0,0071;
13;0,00;0,0109;
14;-0,00;-0,0229;
15;0,00;0,0452;
16;-0,00;-0,0516;
17;0,00;0,0079;
18;-0,00;-0,0964;
19;0,00;0,0144;
20;-0,00;-0,1511;
21;-0,00;-0,0123;
22;-0,00;-0,0633;
23;-0,00;-0,1198;
24;0,00;0,0078;
25;0,00;0,0145;
26;-0,00;-0,0551;
27;-0,00;-0,0531;
28;-0,00;-0,1227;
29;-0,00;-0,0039;
30;0,00;0,0022;
31;-0,00;-0,0887;
32;0,00;0,1219;
33;-0,00;-0,0686;
34;-0,00;-0,0129;
35;0,00;0,0194;
36;0,00;0,0635;
37;0,00;0,0289;
38;-0,00;-0,01;
39;-0,00;-0,0021;
