Tag;Preis;ABS(LogRendite);ABS(Volumeaenderung);ABS(VolumeaenderungsProzent);
2;1008.0;0,004;4116,00;0,1952;
3;1007.0;0,001;26157,00;1,038;
4;1012.0;0,005;17961,00;0,3497;
5;1018.0;0,0059;3252,00;0,0974;
6;1024.0;0,0059;11048,00;0,3015;
7;1026.0;0,002;2002,00;0,0782;
8;1014.0;0,0118;28116,00;1,1915;
9;1005.0;0,0089;13524,00;0,2615;
10;989.0;0,016;4564,00;0,1195;
11;986.0;0,003;6018,00;0,179;
12;997.0;0,0111;12272,00;0,4445;
13;993.0;0,004;1826,00;0,0458;
14;997.0;0,004;168,00;0,004;
15;993.0;0,004;7119,00;0,17;
16;996.0;0,003;3093,00;0,089;
17;1020.0;0,0238;2952,00;0,078;
18;1020.0;0,00;4080,00;0,10;
19;1020.0;0,00;19380,00;0,4318;
20;1024.0;0,0039;18532,00;0,7267;
21;1018.0;0,0059;13492,00;0,3064;
22;1019.0;0,001;5125,00;0,1678;
23;1012.0;0,0069;9875,00;0,2769;
24;989.0;0,023;5980,00;0,1313;
25;1001.0;0,0121;10490,00;0,2652;
26;1000.0;0,001;25050,00;0,5005;
27;1000.0;0,00;23000,00;0,92;
28;990.0;0,0101;20280,00;0,4225;
29;994.0;0,004;10052,00;0,3626;
30;999.0;0,005;4186,00;0,1108;
31;985.0;0,0141;4528,00;0,1079;
32;985.0;0,00;4925,00;0,1316;
33;976.0;0,0092;3225,00;0,0992;
34;989.0;0,0132;30060,00;1,0266;
35;994.0;0,005;37472,00;0,6315;
36;989.0;0,005;27582,00;1,2613;
37;989.0;0,00;14835,00;0,30;
38;988.0;0,001;18737,00;0,5413;
39;993.0;0,005;23562,00;0,4416;
40;995.0;0,002;6030,00;0,2024;
41;986.0;0,0091;10184,00;0,2843;
42;988.0;0,002;6968,00;0,2718;
43;988.0;0,00;15808,00;0,4848;
44;985.0;0,003;5763,00;0,119;
45;987.0;0,002;4825,00;0,0891;
46;987.0;0,00;22701,00;0,46;
47;981.0;0,0061;2124,00;0,0797;
48;976.0;0,0051;10611,00;0,4327;
49;991.0;0,0153;13423,00;0,382;
50;992.0;0,001;7887,00;0,1624;
51;990.0;0,002;10972,00;0,2698;
52;989.0;0,001;1019,00;0,0343;
53;992.0;0,003;27863,00;0,9715;
54;991.0;0,001;16904,00;0,299;
55;987.0;0,004;19900,00;0,502;
56;1001.0;0,0141;36316,00;1,8397;
57;998.0;0,003;24120,00;0,4303;
58;1006.0;0,008;14834,00;0,4645;
59;1012.0;0,0059;11234,00;0,6569;
60;1004.0;0,0079;29896,00;1,0551;
61;1001.0;0,003;37211,00;0,639;
62;1005.0;0,004;24204,00;1,1514;
63;1001.0;0,004;2182,00;0,0482;
64;993.0;0,008;17225,00;0,4002;
65;1008.0;0,015;21558,00;0,835;
66;1006.0;0,002;9148,00;0,1931;
67;996.0;0,01;3368,00;0,0881;
68;991.0;0,005;6762,00;0,194;
69;987.0;0,004;7077,00;0,17;
70;979.0;0,0081;699,00;0,0202;
71;994.0;0,0152;2528,00;0,0717;
72;990.0;0,004;1828,00;0,0484;
73;1010.0;0,02;29500,00;0,7449;
74;1001.0;0,009;30941,00;3,0635;
75;999.0;0,002;4078,00;0,0994;
76;993.0;0,006;3750,00;0,1015;
77;970.0;0,0234;16463,00;0,4044;
78;971.0;0,001;25,00;0,001;
79;959.0;0,0124;4495,00;0,1852;
80;955.0;0,0042;8475,00;0,2946;
81;947.0;0,0084;3153,00;0,0847;
82;953.0;0,0063;13558,00;0,3977;
83;962.0;0,0094;28410,00;0,5962;
84;961.0;0,001;14395,00;0,7482;
85;971.0;0,0104;8118,00;0,2414;
86;970.0;0,001;7803,00;0,1869;
87;966.0;0,0041;11452,00;0,3373;
88;968.0;0,0021;17330,00;0,3817;
89;966.0;0,0021;15398,00;0,5485;
90;975.0;0,0093;9180,00;0,2112;
91;969.0;0,0062;30363,00;0,5767;
92;973.0;0,0041;5746,00;0,2578;
93;969.0;0,0041;27064,00;1,6362;
94;964.0;0,0052;10829,00;0,2483;
95;963.0;0,001;5812,00;0,1773;
96;971.0;0,0083;3660,00;0,1357;
97;967.0;0,0041;8607,00;0,3693;
98;971.0;0,0041;839,00;0,0263;
99;970.0;0,001;4818,00;0,1551;
100;968.0;0,0021;2830,00;0,0789;
101;975.0;0,0072;5155,00;0,1331;
102;970.0;0,0051;19625,00;0,4473;
103;978.0;0,0082;9002,00;0,3712;
104;967.0;0,0113;17999,00;0,5413;
105;974.0;0,0072;26901,00;0,5249;
106;969.0;0,0051;2782,00;0,1143;
107;963.0;0,0062;11388,00;0,4197;
108;963.0;0,00;1926,00;0,05;
109;955.0;0,0083;6989,00;0,191;
110;964.0;0,0094;4135,00;0,1397;
111;949.0;0,0157;9066,00;0,2687;
112;968.0;0,0198;7270,00;0,2946;
113;965.0;0,0031;6656,00;0,2084;
114;961.0;0,0042;160,00;0,0041;
115;959.0;0,0021;12387,00;0,3222;
116;965.0;0,0062;21877,00;0,4304;
117;988.0;0,0236;2666,00;0,0921;
118;978.0;0,0102;5548,00;0,1755;
119;977.0;0,001;6877,00;0,185;
120;985.0;0,0082;5662,00;0,1869;
121;978.0;0,0071;14495,00;0,5886;
122;999.0;0,0212;17142,00;0,4382;
123;992.0;0,007;7782,00;0,3541;
124;1006.0;0,014;10480,00;0,3522;
125;1001.0;0,005;15215,00;0,3781;
126;990.0;0,011;29425,00;1,1758;
127;998.0;0,008;19520,00;0,3585;
