Tag;Preis;ABS(LogRendite);ABS(Volumeaenderung);ABS(VolumeaenderungsProzent);
146;980.0;0,0081;5140,00;0,1734;
147;970.0;0,0103;5100,00;0,2082;
148;960.0;0,0104;14600,00;0,7526;
149;960.0;0,00;4800,00;1,00;
150;960.0;0,00;960,00;0,00;
151;950.0;0,0105;10,00;0,0104;
152;959.0;0,0094;1927,00;2,0284;
153;949.0;0,0105;30,00;0,0104;
154;939.0;0,0106;1848,00;0,6491;
155;937.0;0,0021;6549,00;1,3949;
156;937.0;0,00;8433,00;0,75;
157;931.0;0,0064;21395,00;7,6112;
158;926.0;0,0054;5686,00;0,2349;
159;923.0;0,0032;40552,00;2,1896;
160;924.0;0,0011;33328,00;0,5642;
161;931.0;0,0075;14665,00;0,1587;
162;930.0;0,0011;48475,00;0,4528;
163;926.0;0,0043;4378,00;0,0747;
164;923.0;0,0032;204,00;0,0032;
165;933.0;0,0108;39866,00;0,6352;
166;955.0;0,0233;31005,00;0,3021;
167;956.0;0,001;63977,00;0,8932;
168;954.0;0,0021;2846,00;0,3721;
169;950.0;0,0042;44,00;0,0042;
170;955.0;0,0052;20110,00;1,9244;
171;956.0;0,001;21000,00;0,6872;
172;963.0;0,0073;6811,00;0,7124;
173;966.0;0,0031;4779,00;0,2919;
174;977.0;0,0113;1822,00;0,1572;
175;991.0;0,0142;7788,00;0,7971;
176;998.0;0,007;14,00;0,0071;
177;1004.0;0,006;5032,00;2,521;
178;1003.0;0,001;57164,00;8,1338;
179;1003.0;0,00;23069,00;0,3594;
180;1004.0;0,001;4057,00;0,0987;
181;997.0;0,007;16634,00;0,3682;
182;998.0;0,001;24888,00;0,4026;
183;998.0;0,00;16966,00;0,4595;
184;995.0;0,003;24042,00;0,4461;
185;997.0;0,002;3928,00;0,1316;
186;990.0;0,007;29518,00;1,1387;
187;990.0;0,00;51480,00;0,9286;
188;989.0;0,001;31644,00;7,9909;
189;985.0;0,0041;16889,00;0,4744;
190;985.0;0,00;11820,00;0,6316;
191;989.0;0,0041;11896,00;1,7253;
192;988.0;0,001;17765,00;0,9454;
193;992.0;0,004;24652,00;0,6744;
194;999.0;0,007;8907,00;0,7482;
195;998.0;0,001;24947,00;8,324;
196;1003.0;0,005;8887,00;0,318;
197;1005.0;0,002;8002,00;0,4199;
198;1011.0;0,006;6000,00;0,5427;
199;1018.0;0,0069;983,00;0,1945;
200;1025.0;0,0069;3103,00;0,762;
201;1030.0;0,0049;24755,00;3,4502;
202;1036.0;0,0058;2922,00;0,0915;
203;1035.0;0,001;17567,00;0,6056;
204;1037.0;0,0019;39496,00;0,848;
205;1036.0;0,001;56027,00;0,6509;
206;1040.0;0,0039;116,00;0,0039;
207;1045.0;0,0048;7170,00;0,2377;
208;1045.0;0,00;15675,00;0,6818;
209;1052.0;0,0067;13725,00;1,8763;
210;1056.0;0,0038;59216,00;2,8144;
211;1062.0;0,0057;47334,00;0,5898;
212;1062.0;0,00;1062,00;0,0323;
213;1065.0;0,0028;49080,00;1,5405;
214;1070.0;0,0047;15670,00;0,1936;
215;1074.0;0,0037;14206,00;0,2176;
216;1080.0;0,0056;3876,00;0,0488;
217;1085.0;0,0046;39410,00;0,5213;
218;1090.0;0,0046;19090,00;0,166;
219;1097.0;0,0064;23518,00;0,2452;
220;1103.0;0,0055;396,00;0,0055;
221;1109.0;0,0054;15922,00;0,2187;
222;1112.0;0,0027;111440,00;1,2561;
223;1117.0;0,0045;5802,00;0,029;
224;1124.0;0,0062;42618,00;0,2193;
225;1128.0;0,0036;43404,00;0,286;
226;1133.0;0,0044;3667,00;0,0188;
227;1138.0;0,0044;63435,00;0,3313;
228;1140.0;0,0018;162328,00;0,6368;
229;1146.0;0,0052;240756,00;0,577;
230;1151.0;0,0044;4223,00;0,0239;
231;1149.0;0,0017;478819,00;2,6497;
232;1148.0;0,0009;57974,00;0,0879;
233;1153.0;0,0043;523796,00;0,73;
234;1146.0;0,0061;467538,00;2,4137;
235;1151.0;0,0044;403418,00;0,6101;
236;1156.0;0,0043;79800,00;0,3095;
237;1158.0;0,0017;355814,00;1,9987;
238;1151.0;0,0061;209708,00;0,3928;
239;1157.0;0,0052;563054,00;0,7573;
240;1160.0;0,0026;468,00;0,0026;
241;1166.0;0,0052;1396,00;0,0077;
242;1163.0;0,0026;406588,00;2,2643;
243;1159.0;0,0034;30436,00;0,0519;
244;1150.0;0,0078;51938,00;0,0842;
245;1148.0;0,0017;382118,00;0,6767;
246;1139.0;0,0079;151195,00;0,8283;
247;1127.0;0,0106;164677,00;0,4934;
248;1115.0;0,0107;51975,00;0,3075;
249;1106.0;0,0081;45185,00;0,3859;
250;1098.0;0,0073;36754,00;0,5113;
251;1090.0;0,0073;11156,00;0,3175;
252;1079.0;0,0101;13190,00;0,55;
253;1068.0;0,0102;7586,00;0,7031;
254;1061.0;0,0066;32870,00;10,2591;
255;1057.0;0,0038;29460,00;0,8167;
256;1051.0;0,0057;6678,00;0,1019;
257;1054.0;0,0029;109784,00;1,8653;
258;1055.0;0,0009;99010,00;0,5871;
259;1056.0;0,0009;37950,00;0,545;
260;1054.0;0,0019;36830,00;1,1626;
261;1052.0;0,0019;53522,00;0,7812;
262;1072.0;0,0188;23760,00;0,1947;
263;1071.0;0,0009;115804,00;0,7943;
264;1074.0;0,0028;18342,00;0,6116;
265;1084.0;0,0093;16710,00;0,3457;
266;1090.0;0,0055;18170,00;0,2794;
267;1091.0;0,0009;35960,00;0,7672;
268;1090.0;0,0009;17430,00;1,5976;
269;1096.0;0,0055;7828,00;0,2762;
270;1110.0;0,0127;11748,00;0,3248;
271;1113.0;0,0027;4386,00;0,1796;
272;1118.0;0,0045;16680,00;0,8326;
273;1121.0;0,0027;16824,00;5,0161;
274;1124.0;0,0027;13434,00;0,6658;
275;1127.0;0,0027;1109,00;0,1644;
276;1127.0;0,00;38318,00;6,80;
277;1118.0;0,008;3003,00;0,0683;
278;1125.0;0,0062;40206,00;0,8562;
279;1129.0;0,0035;3411,00;0,5053;
280;1136.0;0,0062;5617,00;0,5528;
281;1144.0;0,007;2320,00;0,5106;
282;1147.0;0,0026;5717,00;0,8329;
283;1154.0;0,0061;3469,00;3,0244;
284;1161.0;0,006;6994,00;1,5152;
285;1161.0;0,00;38313,00;3,30;
286;1169.0;0,0069;44078,00;0,8829;
287;1171.0;0,0017;77296,00;13,2243;
288;1176.0;0,0043;4349,00;0,0523;
289;1175.0;0,0009;31792,00;0,4035;
290;1175.0;0,00;98700,00;2,10;
291;1167.0;0,0068;992,00;0,0068;
292;1159.0;0,0069;2151,00;0,0149;
293;1156.0;0,0026;82445,00;0,5783;
294;1157.0;0,0009;5733,00;0,0954;
295;1157.0;0,00;20826,00;0,383;
296;1159.0;0,0017;30004,00;0,399;
297;1162.0;0,0026;3369,00;0,0745;
