V14;0011;NoiseTrader;2655;1593716;4224821;0;0,00;-24108;-0,5674;S;0;0;3;989;991;b;1027;0;0;0;0;0;0;0;0;S;3;NA;1013,7551;49;0,181;;MyAveragePrice=1013,7551 YesterdayPrice=991,00;SellLimit decreased 0.181%;
V14;0012;NoiseTrader;2652;1596698;4232786;0;0,00;-16143;-0,3799;S;0;0;3;990;994;B;1020;0;0;0;0;0;0;0;0;S;3;NA;1012,9388;49;-0,702;;MyAveragePrice=1012,9388 YesterdayPrice=991,00
V14;0013;NoiseTrader;2651;1597691;4230134;0;0,00;-18795;-0,4423;S;0;0;1;990;993;b;1013;0;0;0;0;0;0;0;0;S;1;NA;1012,0612;49;0,378;;MyAveragePrice=1012,0612 YesterdayPrice=994,00;SellLimit decreased 0.378%;
V14;0014;NoiseTrader;2650;1598700;4272550;0;0,00;23621;0,5559;S;0;0;1;992;1009;G;1030;0;0;0;0;0;0;0;0;S;1;NA;1011,2449;49;-0,118;;MyAveragePrice=1011,2449 YesterdayPrice=993,00
V14;0015;NoiseTrader;2650;1598700;4299050;0;0,00;50121;1,1796;S;0;0;1;1010;1019;B;1015;0;0;0;0;0;0;0;0; ;0;NA;1010,9592;49;0,129;;MyAveragePrice=1010,9592 YesterdayPrice=1009,00;SellLimit increased 0.129%;
V14;0016;NoiseTrader;2650;1598700;4307000;0;0,00;58071;1,3667;B;1;1012;0;0;1022;b;1013;0;0;0;0;0;0;0;0; ;0;NA;1010,9388;49;0,663;;MyAveragePrice=1010,9388 YesterdayPrice=1019,00;BuyLimit decreased 0.663%;
V14;0017;NoiseTrader;2650;1598700;4307000;0;0,00;58071;1,3667;B;1;1021;0;0;1022;G;1007;0;0;0;0;0;0;0;0; ;0;NA;1011,1224;49;-0,636;;MyAveragePrice=1011,1224 YesterdayPrice=1022,00
V14;0018;NoiseTrader;2650;1598700;4346750;0;0,00;97821;2,3023;B;1;1028;0;0;1037;b;1024;0;0;0;0;0;0;0;0; ;0;NA;1011,2857;49;0,618;;MyAveragePrice=1011,2857 YesterdayPrice=1022,00;BuyLimit increased 0.618%;
V14;0019;NoiseTrader;2652;1596626;4346750;0;0,00;97821;2,3023;B;3;1037;0;0;1037;G;1035;0;0;0;0;0;0;0;0;B;2;NA;1011,5714;49;0,13;;MyAveragePrice=1011,5714 YesterdayPrice=1037,00
V14;0020;NoiseTrader;2654;1594552;4346750;0;0,00;97821;2,3023;B;3;1043;0;0;1037;G;1014;0;0;0;0;0;0;0;0;B;2;NA;1012,0204;49;0,605;;MyAveragePrice=1012,0204 YesterdayPrice=1037,00;BuyLimit increased 0.605%;
V14;0021;NoiseTrader;2654;1594552;4373290;0;0,00;124361;2,9269;B;3;1030;0;0;1047;B;1028;0;0;0;0;0;0;0;0; ;0;NA;1012,7143;49;0,609;;MyAveragePrice=1012,7143 YesterdayPrice=1037,00;BuyLimit increased 0.609%;
V14;0022;NoiseTrader;2654;1594552;4389214;0;0,00;140285;3,3017;B;3;1043;0;0;1053;G;1037;0;0;0;0;0;0;0;0; ;0;NA;1013,3878;49;0,342;;MyAveragePrice=1013,3878 YesterdayPrice=1047,00;BuyLimit decreased 0.342%;
V14;0023;NoiseTrader;2657;1591387;4394522;0;0,00;145593;3,4266;B;3;1058;0;0;1055;B;1021;0;0;0;0;0;0;0;0;B;3;NA;1014,1633;49;0,554;;MyAveragePrice=1014,1633 YesterdayPrice=1053,00;BuyLimit increased 0.554%;
V14;0024;NoiseTrader;2660;1588240;4378580;0;0,00;129651;3,0514;B;3;1053;0;0;1049;G;1018;0;0;0;0;0;0;0;0;B;3;NA;1014,8571;49;0,12;;MyAveragePrice=1014,8571 YesterdayPrice=1055,00;BuyLimit decreased 0.12%;
V14;0025;NoiseTrader;2663;1585090;4381240;132311;3,114;132311;3,114;B;3;1055;0;0;1050;B;1007;0;0;0;0;0;0;0;0;B;3;NA;1015,2041;49;0,59;;MyAveragePrice=1015,2041 YesterdayPrice=1049,00;BuyLimit increased 0.59%;
V14;0026;NoiseTrader;2665;1582998;4370588;164395;3,9084;121659;2,8633;B;3;1054;0;0;1046;G;1019;0;0;0;0;0;0;0;0;B;2;NA;1015,6327;49;0,469;;MyAveragePrice=1015,6327 YesterdayPrice=1050,00;BuyLimit decreased 0.469%;
V14;0027;NoiseTrader;2668;1579854;4375918;169725;4,0351;126989;2,9887;B;3;1052;0;0;1048;B;1002;0;0;0;0;0;0;0;0;B;3;NA;1015,9388;49;0,627;;MyAveragePrice=1015,9388 YesterdayPrice=1046,00;BuyLimit increased 0.627%;
V14;0028;NoiseTrader;2668;1579854;4359910;169737;4,0508;110981;2,612;B;3;1040;0;0;1042;G;1014;0;0;0;0;0;0;0;0; ;0;NA;1016,2857;49;0,69;;MyAveragePrice=1016,2857 YesterdayPrice=1048,00;BuyLimit decreased 0.69%;
V14;0029;NoiseTrader;2668;1579854;4375918;188415;4,4995;126989;2,9887;B;3;1036;0;0;1048;B;1024;0;0;0;0;0;0;0;0; ;0;NA;1016,4286;49;0,538;;MyAveragePrice=1016,4286 YesterdayPrice=1042,00;BuyLimit increased 0.538%;
V14;0030;NoiseTrader;2671;1576722;4365246;164403;3,9136;116317;2,7376;B;3;1047;0;0;1044;B;1010;0;0;0;0;0;0;0;0;B;3;NA;1016,8367;49;0,036;;MyAveragePrice=1016,8367 YesterdayPrice=1048,00;BuyLimit decreased 0.036%;
V14;0031;NoiseTrader;2674;1573623;4335865;148357;3,5428;86936;2,0461;B;3;1036;0;0;1033;B;999;0;0;0;0;0;0;0;0;B;3;NA;1017,102;49;0,695;;MyAveragePrice=1017,102 YesterdayPrice=1044,00;BuyLimit decreased 0.695%;
V14;0032;NoiseTrader;2675;1572596;4319821;140314;3,3572;70892;1,6685;B;1;1033;0;0;1027;B;1011;0;0;0;0;0;0;0;0;B;1;NA;1016,9184;49;0,09;;MyAveragePrice=1016,9184 YesterdayPrice=1033,00;BuyLimit decreased 0.09%;
V14;0033;NoiseTrader;2676;1571570;4317146;105635;2,5082;68217;1,6055;B;1;1028;0;0;1026;b;1023;0;0;0;0;0;0;0;0;B;1;NA;1016,5714;49;0,193;;MyAveragePrice=1016,5714 YesterdayPrice=1027,00;BuyLimit decreased 0.193%;
V14;0034;NoiseTrader;2676;1571570;4317146;92325;2,1853;68217;1,6055;B;1;1025;0;0;1026;G;1026;0;0;0;0;0;0;0;0; ;0;NA;1016,3061;49;-0,729;;MyAveragePrice=1016,3061 YesterdayPrice=1026,00
