Tag;Preis;ABS(LogRendite);ABS(Volumeaenderung);ABS(VolumeaenderungsProzent);
2;991.0;0,004;19720,00;0,7928;
3;983.0;0,0081;12156,00;0,2726;
4;992.0;0,0091;7241,00;0,2232;
5;1002.0;0,01;19438,00;0,4899;
6;1016.0;0,0139;12382,00;0,2094;
7;1012.0;0,0039;1840,00;0,0394;
8;1009.0;0,003;6919,00;0,1424;
9;1005.0;0,004;19315,00;0,348;
10;1000.0;0,005;2820,00;0,0779;
11;989.0;0,0111;12297,00;0,3153;
12;1000.0;0,0111;28297,00;1,0597;
13;999.0;0,001;10045,00;0,1826;
14;1006.0;0,007;2703,00;0,0601;
15;1013.0;0,0069;11862,00;0,2807;
16;1018.0;0,0049;150,00;0,0049;
17;1025.0;0,0069;5335,00;0,1747;
18;1024.0;0,001;14301,00;0,3986;
19;1021.0;0,0029;19546,00;0,3895;
20;1012.0;0,0089;18958,00;0,6189;
21;1014.0;0,002;19168,00;0,3865;
22;1002.0;0,0119;24690,00;0,8116;
23;1004.0;0,002;4910,00;0,0891;
24;994.0;0,01;5470,00;0,109;
25;991.0;0,003;13018,00;0,291;
26;1000.0;0,009;7712,00;0,2432;
27;998.0;0,002;23904,00;0,996;
28;988.0;0,0101;5420,00;0,1131;
29;983.0;0,0051;16926,00;0,3984;
30;995.0;0,0121;26182,00;1,0244;
31;992.0;0,003;9084,00;0,1756;
32;998.0;0,006;9240,00;0,2166;
33;998.0;0,00;1996,00;0,0385;
34;998.0;0,00;4990,00;0,10;
35;987.0;0,0111;9375,00;0,2088;
36;989.0;0,002;25604,00;0,4717;
37;980.0;0,0091;261,00;0,0091;
38;988.0;0,0081;17028,00;0,5992;
39;995.0;0,0071;15598,00;0,3432;
40;1001.0;0,006;8829,00;0,2958;
41;993.0;0,008;29622,00;1,4092;
42;999.0;0,006;10683,00;0,2109;
43;991.0;0,008;1311,00;0,0328;
44;991.0;0,00;3964,00;0,1026;
45;981.0;0,0101;13183,00;0,3094;
46;981.0;0,00;14715,00;0,50;
47;977.0;0,0041;9950,00;0,2254;
48;979.0;0,002;10839,00;0,317;
49;994.0;0,0152;1684,00;0,0374;
50;997.0;0,003;5841,00;0,125;
51;987.0;0,0101;9293,00;0,2273;
52;984.0;0,003;2064,00;0,0653;
53;986.0;0,002;24710,00;0,8371;
54;983.0;0,003;1801,00;0,0332;
55;990.0;0,0071;1581,00;0,0282;
56;983.0;0,0071;20045,00;0,3681;
57;993.0;0,0101;22196,00;0,6451;
58;991.0;0,002;26871,00;0,4747;
59;995.0;0,004;15045,00;0,5061;
60;998.0;0,003;8847,00;0,1976;
61;1000.0;0,002;10072,00;0,2803;
62;1004.0;0,004;10860,00;0,2361;
63;1002.0;0,002;17966,00;0,5113;
64;1000.0;0,002;22106,00;0,4163;
65;1004.0;0,004;14180,00;0,4574;
66;1022.0;0,0178;31894,00;0,7059;
67;1010.0;0,0118;22064,00;1,6607;
68;1008.0;0,002;22106,00;0,6253;
69;1002.0;0,006;12366,00;0,2152;
70;1005.0;0,003;18960,00;0,4205;
71;1011.0;0,006;21387,00;0,8185;
72;1000.0;0,0109;12517,00;0,2634;
73;997.0;0,003;19835,00;0,5667;
74;979.0;0,0182;19591,00;0,3573;
75;973.0;0,0061;757,00;0,0215;
76;977.0;0,0041;8941,00;0,2484;
77;973.0;0,0041;15752,00;0,3505;
78;963.0;0,0103;3189,00;0,1092;
79;958.0;0,0052;2739,00;0,1053;
80;957.0;0,001;10557,00;0,3673;
81;954.0;0,0031;24747,00;1,361;
82;954.0;0,00;18126,00;0,4222;
83;953.0;0,001;30470,00;1,2284;
84;958.0;0,0052;12164,00;0,2201;
85;963.0;0,0052;225,00;0,0052;
86;964.0;0,001;24055,00;0,5551;
87;965.0;0,001;24145,00;1,2523;
88;959.0;0,0062;270,00;0,0062;
89;963.0;0,0042;180,00;0,0042;
90;967.0;0,0041;15652,00;0,3612;
91;964.0;0,0031;32959,00;0,5588;
92;957.0;0,0073;4596,00;0,1766;
93;963.0;0,0063;17526,00;0,5723;
94;956.0;0,0073;19470,00;0,4044;
95;964.0;0,0083;24340,00;0,8487;
96;966.0;0,0021;10516,00;0,1983;
97;965.0;0,001;3816,00;0,0898;
98;962.0;0,0031;15536,00;0,3354;
99;959.0;0,0031;2781,00;0,0903;
100;974.0;0,0155;16109,00;0,4799;
101;992.0;0,0183;17930,00;0,361;
102;996.0;0,004;2120,00;0,0668;
103;991.0;0,005;14695,00;0,4339;
104;980.0;0,0112;19159,00;0,3946;
105;971.0;0,0092;6527,00;0,222;
106;975.0;0,0041;8627,00;0,2401;
107;968.0;0,0072;11420,00;0,4183;
108;966.0;0,0021;4750,00;0,1227;
109;959.0;0,0073;5439,00;0,1251;
110;968.0;0,0093;34389,00;0,7031;
111;957.0;0,0114;24717,00;1,7023;
112;964.0;0,0073;2215,00;0,0565;
113;958.0;0,0062;3574,00;0,0862;
114;961.0;0,0031;16196,00;0,3597;
115;972.0;0,0114;14910,00;0,5172;
116;965.0;0,0072;4175,00;0,0955;
117;972.0;0,0072;3601,00;0,091;
118;965.0;0,0072;4119,00;0,1145;
119;967.0;0,0021;1868,00;0,0587;
120;969.0;0,0021;8783,00;0,293;
121;969.0;0,00;14535,00;0,375;
122;968.0;0,001;6751,00;0,2787;
123;986.0;0,0184;33114,00;1,069;
124;1008.0;0,0221;33850,00;0,5282;
125;1006.0;0,002;5090,00;0,1683;
126;995.0;0,011;27585,00;1,0968;
127;1003.0;0,008;37690,00;0,7147;
128;992.0;0,011;44475,00;2,9561;
129;990.0;0,002;14970,00;0,2515;
130;994.0;0,004;14730,00;0,3306;
131;993.0;0,001;7914,00;0,2654;
132;993.0;0,00;24825,00;0,6579;
133;1008.0;0,015;27279,00;0,4361;
134;1008.0;0,00;20160,00;0,5714;
135;998.0;0,01;33782,00;2,2343;
136;997.0;0,001;4037,00;0,0826;
137;1012.0;0,0149;28673,00;0,6391;
138;998.0;0,0139;54666,00;3,3761;
139;1009.0;0,011;35543,00;0,5016;
140;1003.0;0,006;8234,00;0,2332;
141;1006.0;0,003;3099,00;0,1144;
142;1013.0;0,0069;6288,00;0,2083;
143;1016.0;0,003;4172,00;0,1144;
144;1005.0;0,0109;3455,00;0,085;
145;1003.0;0,002;12110,00;0,3257;
146;984.0;0,0191;14285,00;0,5697;
147;977.0;0,0071;4605,00;0,117;
148;963.0;0,0144;15075,00;0,3429;
149;966.0;0,0031;14580,00;0,5047;
150;968.0;0,0021;9590,00;0,2206;
151;965.0;0,0031;4720,00;0,1393;
152;982.0;0,0175;13446,00;0,3483;
153;985.0;0,0031;24466,00;0,4701;
154;982.0;0,0031;32322,00;1,1719;
155;979.0;0,0031;20742,00;0,3463;
156;976.0;0,0031;4760,00;0,1216;
157;976.0;0,00;976,00;0,0222;
158;989.0;0,0132;19208,00;0,4473;
159;984.0;0,0051;18576,00;0,7826;
160;991.0;0,0071;7627,00;0,1803;
161;981.0;0,0101;11422,00;0,3293;
162;983.0;0,002;94,00;0,002;
163;993.0;0,0101;11446,00;0,2477;
164;994.0;0,001;5005,00;0,144;
