


LogRenditen in 1 Tagen Abstand
Nummer;LogRenditen
1;-0,004
2;-0,0081
3;0,0091
4;0,01
5;0,0139
6;-0,0039
7;-0,003
8;-0,004
9;-0,005
10;-0,0111
11;0,0111
12;-0,001
13;0,007
14;0,0069
15;0,0049
16;0,0069
17;-0,001
18;-0,0029
19;-0,0089
20;0,002
21;-0,0119
22;0,002
23;-0,01
24;-0,003
25;0,009
26;-0,002
27;-0,0101
28;-0,0051
29;0,0121
30;-0,003
31;0,006
32;0,00
33;0,00
34;-0,0111
35;0,002
36;-0,0091
37;0,0081
38;0,0071
39;0,006
40;-0,008
41;0,006
42;-0,008
43;0,00
44;-0,0101
45;0,00
46;-0,0041
47;0,002
48;0,0152
49;0,003
50;-0,0101
51;-0,003
52;0,002
53;-0,003
54;0,0071
55;-0,0071
56;0,0101
57;-0,002
58;0,004
59;0,003
60;0,002
61;0,004
62;-0,002
63;-0,002
64;0,004
65;0,0178
66;-0,0118
67;-0,002
68;-0,006
69;0,003
70;0,006
71;-0,0109
72;-0,003
73;-0,0182
74;-0,0061
75;0,0041
76;-0,0041
77;-0,0103
78;-0,0052
79;-0,001
80;-0,0031
81;0,00
82;-0,001
83;0,0052
84;0,0052
85;0,001
86;0,001
87;-0,0062
88;0,0042
89;0,0041
90;-0,0031
91;-0,0073
92;0,0063
93;-0,0073
94;0,0083
95;0,0021
96;-0,001
97;-0,0031
98;-0,0031
99;0,0155
100;0,0183
101;0,004
102;-0,005
103;-0,0112
104;-0,0092
105;0,0041
106;-0,0072
107;-0,0021
108;-0,0073
109;0,0093
110;-0,0114
111;0,0073
112;-0,0062
113;0,0031
114;0,0114
115;-0,0072
116;0,0072
117;-0,0072
118;0,0021
119;0,0021
120;0,00
121;-0,001
122;0,0184
123;0,0221
124;-0,002
125;-0,011
126;0,008
127;-0,011
128;-0,002
129;0,004
130;-0,001
131;0,00
132;0,015
133;0,00
134;-0,01
135;-0,001
136;0,0149
137;-0,0139
138;0,011
139;-0,006
140;0,003
141;0,0069
142;0,003
143;-0,0109
144;-0,002
145;-0,0191
146;-0,0071
147;-0,0144
148;0,0031
149;0,0021
150;-0,0031
151;0,0175
152;0,0031
153;-0,0031
154;-0,0031
155;-0,0031
156;0,00
157;0,0132
158;-0,0051
159;0,0071
160;-0,0101
161;0,002
162;0,0101
163;0,001
164;0,00
165;-0,0173
166;0,0102
167;0,0101
168;-0,003
169;0,008
170;-0,011
171;-0,003
172;0,0101
173;0,004
174;0,003
175;-0,008
176;0,00
177;0,009
178;0,0069
179;-0,0099
180;0,003
181;-0,002
182;-0,002
183;0,003
184;0,002
185;-0,006
186;-0,011
187;0,004
188;0,00
189;-0,0152
190;-0,001
191;0,0041
192;-0,0092
193;0,0133
194;-0,003
195;-0,0123
196;0,0163
197;-0,0081
198;0,002
199;0,0101
200;-0,0204
201;0,0072
202;-0,001
203;0,0031
204;0,0091
205;-0,0071
206;-0,0113
207;-0,0031
208;-0,0041
209;-0,0104
210;0,0094
211;0,0124
212;-0,0062
213;0,0092
214;-0,0103
215;0,0144
216;0,0101
217;0,01
218;0,003
219;0,00
220;-0,001
221;0,001
222;-0,002
223;-0,0161
224;-0,0071
225;-0,002
226;-0,0031
227;-0,0051
228;0,0072
229;0,0031
230;0,0071
231;-0,0071
232;-0,001
233;-0,0082
234;0,0072
235;0,0081
236;-0,0071
237;-0,0072
238;0,00
239;0,0082
240;-0,0031
241;0,0071
242;-0,0031
243;-0,001
244;-0,0061
245;-0,0062
246;-0,0104
247;-0,0042
248;0,0063
249;0,0052
250;0,0041
251;-0,0073
252;0,001
253;0,0103
254;0,00
255;0,0092
256;0,0101
257;0,00
258;0,01
259;0,006
260;0,001
261;-0,011
262;0,002
263;0,002
264;-0,008
265;-0,001
266;0,003
267;0,008
268;-0,006
269;0,00
270;-0,0101
271;-0,001
272;0,001
273;0,0111
274;-0,004
275;0,009
276;0,0168
277;-0,0069
278;0,0059
279;0,0039
280;0,0039
281;-0,0078
282;0,00
283;0,0088
284;-0,0029
285;0,0039
286;-0,0078
287;-0,002
288;-0,0108
289;-0,009
290;0,005
291;0,00
292;0,001
293;0,005
294;-0,0079
295;-0,002
296;-0,006
297;-0,001
298;0,005
299;0,009
300;-0,009
301;-0,008
302;-0,0061
303;0,003
304;0,0061
305;-0,0071
306;0,003
307;-0,001
308;-0,003
309;-0,0061
310;-0,0103
311;0,0062
312;-0,0051
313;0,0062
314;0,0041
315;-0,0092
316;0,00
317;0,0062
318;0,00
319;0,002
320;-0,002
321;0,0051
322;0,002
323;0,00
324;0,003
325;-0,0102
326;0,0152
327;0,001
328;0,003
329;-0,001
330;0,00
331;0,00
332;0,004
333;0,006
334;0,002
335;-0,001
336;0,001
337;0,003
338;-0,001
339;0,001
340;0,002
341;0,001
342;0,002
343;-0,0059
344;-0,004
345;-0,006
346;-0,005
347;0,004
348;-0,004
349;0,006
350;0,00
351;-0,004
352;-0,001
353;-0,002
354;0,003
355;-0,006
356;-0,0101
357;0,001
358;0,0031
359;0,0091
360;0,002
361;-0,006
362;-0,0112
363;0,0092
364;-0,0071
365;-0,0041
366;0,0112
367;-0,0041
368;0,0151
369;0,011
370;0,00
371;-0,012
372;-0,002
373;0,007
374;0,004
375;-0,003
376;0,0129
377;0,0039
378;0,002
379;-0,0088
380;0,0069
381;-0,0069
382;-0,0059
383;0,0059
384;0,002
385;0,0069
386;-0,0108
387;-0,0079
388;-0,005
389;-0,001
390;-0,005
391;-0,0061
392;-0,001
393;-0,0112
394;0,00
395;0,001
396;0,0031
397;0,001
398;-0,0061
399;-0,0031



LogRenditen in 5 Tagen Abstand
Nummer;LogRenditen
1;0,0209
2;-0,0269
3;0,0289
4;-0,0039
5;-0,0139
6;-0,008
7;-0,003
8;0,004
9;-0,0122
10;0,0061
11;-0,0041
12;0,0171
13;0,0218
14;-0,0108
15;-0,0342
16;-0,0238
17;0,0104
18;0,00
19;0,0021
20;0,0266
21;-0,0173
22;-0,0186
23;0,0083
24;0,0041
25;0,0265
26;-0,002
27;0,004
28;0,009
29;-0,0221
30;-0,0195
31;0,0113
32;0,0051
33;-0,0041
34;0,0142
35;0,006
36;0,009
37;-0,005
38;-0,0232
39;-0,0072
40;0,00
41;0,0113
42;-0,0195
43;0,0195
44;0,0222
45;-0,0262
46;0,0092
47;-0,001
48;-0,0092
49;-0,0093
50;0,001
51;0,0133
52;0,0271
53;-0,016
54;-0,005
55;0,0161
56;0,0236
57;0,0019
58;-0,0246
59;-0,004
60;-0,002
61;-0,0121
62;-0,0174
63;0,0021
64;0,0062
65;0,00
66;0,0182
67;0,011
68;0,0059
69;-0,0129
70;0,001
71;-0,01
72;0,005
73;-0,0193
74;0,0332
75;-0,006
76;0,0168
77;0,002
78;-0,0298
79;-0,0173



LogRenditen in 10 Tagen Abstand
Nummer;LogRenditen
1;-0,006
2;0,025
3;-0,0219
4;0,001
5;-0,0061
6;0,0131
7;0,0109
8;-0,058
9;0,0104
10;0,0286
11;-0,0359
12;0,0125
13;0,0245
14;0,013
15;-0,0416
16;0,0164
17;0,0101
18;0,015
19;-0,0282
20;-0,0072
21;-0,0083
22;0,0417
23;-0,0171
24;-0,0102
25;-0,0082
26;0,0405
27;-0,021
28;0,0397
29;-0,0226
30;-0,006
31;-0,0295
32;0,0082
33;0,0182
34;0,0169
35;-0,0119
36;-0,005
37;0,014
38;0,0108
39;-0,0278



LogRenditen in 25 Tagen Abstand
Nummer;LogRenditen
1;0,005
2;-0,0131
3;-0,0102
4;0,0152
5;0,003
6;-0,0306
7;0,0326
8;-0,0264
9;0,0072
10;-0,0092
11;0,0355
12;-0,005
13;-0,0212
14;0,0232
15;0,003



LogRenditen in 50 Tagen Abstand
Nummer;LogRenditen
1;-0,0081
2;0,0051
3;-0,0276
4;0,0062
5;-0,0021
6;0,0305
7;0,002
