Tao;Autokovarinz;Autokorrelation;
0;0,00;1,00;
1;0,00;0,0223;
2;0,00;0,0522;
3;-0,00;-0,0116;
4;-0,00;-0,0104;
5;0,00;0,0523;
6;0,00;0,0665;
7;0,00;0,0245;
8;0,00;0,0198;
9;0,00;0,0015;
10;0,00;0,0723;
11;0,00;0,0774;
12;0,00;0,028;
13;0,00;0,0195;
14;0,00;0,0488;
15;0,00;0,0635;
16;-0,00;-0,0809;
17;0,00;0,0505;
18;-0,00;-0,0331;
19;-0,00;-0,0005;
20;0,00;0,0528;
21;-0,00;-0,0177;
22;0,00;0,0845;
23;0,00;0,1201;
24;0,00;0,0255;
25;0,00;0,012;
26;-0,00;-0,0487;
27;0,00;0,0197;
28;0,00;0,0203;
29;0,00;0,0079;
30;-0,00;-0,0267;
31;-0,00;-0,0237;
32;-0,00;-0,0384;
33;-0,00;-0,0325;
34;0,00;0,0752;
35;0,00;0,0798;
36;-0,00;-0,0259;
37;0,00;0,0383;
38;0,00;0,0456;
39;-0,00;-0,0013;
